Latitude (decimal degrees):	52.522
Longitude (decimal degrees):	13.360
Elevation (m):	35
Radiation database:	PVGIS-SARAH3


Slope: 45 deg. 
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,0.0,14.86,6.41,0.0
20230101:0111,0.0,0.0,0.0,14.83,6.28,0.0
20230101:0211,0.0,0.0,0.0,14.63,6.21,0.0
20230101:0311,0.0,0.0,0.0,14.42,5.93,0.0
20230101:0411,0.0,0.0,0.0,14.19,5.59,0.0
20230101:0511,0.0,0.0,0.0,13.91,5.45,0.0
20230101:0611,0.0,0.0,0.0,14.02,5.79,0.0
20230101:0711,0.0,0.0,0.0,14.33,6.07,0.0
20230101:0811,137170.0,172.9,5.03,14.05,6.07,0.0
20230101:0911,20900.0,38.81,10.14,14.16,6.14,0.0
20230101:1011,80830.0,111.21,13.38,14.43,6.14,0.0
20230101:1111,84150.0,115.31,14.47,14.72,6.07,0.0
20230101:1211,172930.0,215.4,13.3,14.83,5.66,0.0
20230101:1311,20830.0,38.81,9.99,14.68,5.17,0.0
20230101:1411,6160.0,17.64,4.82,14.21,4.69,0.0
20230101:1511,0.0,0.0,0.0,13.44,4.34,0.0
20230101:1611,0.0,0.0,0.0,12.67,3.86,0.0
20230101:1711,0.0,0.0,0.0,11.93,3.45,0.0
20230101:1811,0.0,0.0,0.0,11.36,3.03,0.0
20230101:1911,0.0,0.0,0.0,11.4,2.97,0.0
20230101:2011,0.0,0.0,0.0,11.48,2.97,0.0
20230101:2111,0.0,0.0,0.0,11.55,2.83,0.0
20230101:2211,0.0,0.0,0.0,11.4,2.76,0.0
20230101:2311,0.0,0.0,0.0,11.16,2.62,0.0
20230102:0011,0.0,0.0,0.0,11.05,2.62,0.0
20230102:0111,0.0,0.0,0.0,10.99,3.1,0.0
20230102:0211,0.0,0.0,0.0,11.02,3.45,0.0
20230102:0311,0.0,0.0,0.0,11.31,3.59,0.0
20230102:0411,0.0,0.0,0.0,11.27,3.52,0.0
20230102:0511,0.0,0.0,0.0,11.19,3.72,0.0
20230102:0611,0.0,0.0,0.0,11.44,4.14,0.0
20230102:0711,0.0,0.0,0.0,11.97,4.14,0.0
20230102:0811,0.0,4.41,5.06,12.16,4.28,0.0
20230102:0911,3110.0,12.35,10.19,12.78,4.62,0.0
20230102:1011,15760.0,31.75,13.45,13.37,4.48,0.0
20230102:1111,26970.0,46.75,14.55,13.94,4.76,0.0
20230102:1211,31060.0,52.04,13.4,14.26,5.1,0.0
20230102:1311,12620.0,27.34,10.11,13.5,5.03,0.0
20230102:1411,4610.0,14.99,4.94,12.97,4.97,0.0
20230102:1511,0.0,0.0,0.0,12.59,4.9,0.0
20230102:1611,0.0,0.0,0.0,12.0,4.76,0.0
20230102:1711,0.0,0.0,0.0,11.51,4.69,0.0
20230102:1811,0.0,0.0,0.0,10.96,4.21,0.0
20230102:1911,0.0,0.0,0.0,10.35,3.38,0.0
20230102:2011,0.0,0.0,0.0,9.89,3.24,0.0
20230102:2111,0.0,0.0,0.0,9.39,3.38,0.0
20230102:2211,0.0,0.0,0.0,8.92,3.52,0.0
20230102:2311,0.0,0.0,0.0,8.55,3.59,0.0
20230103:0011,0.0,0.0,0.0,7.99,3.72,0.0
20230103:0111,0.0,0.0,0.0,7.69,3.72,0.0
20230103:0211,0.0,0.0,0.0,7.72,3.52,0.0
20230103:0311,0.0,0.0,0.0,7.51,3.38,0.0
20230103:0411,0.0,0.0,0.0,6.88,3.24,0.0
